species_id,batch_id,sample_id,age,tl,bd,ba,pfa
pepamb,1,reared-1-1-15,15,9.749081746,2.413513283,13.84765925,10.14473515
pepamb,1,reared-1-1-15,15,9.014692065,2.263602973,11.58759868,8.502132618
pepamb,1,reared-1-1-15,15,9.273298027,2.46903562,13.08427317,10.61535309
pepamb,1,reared-1-1-15,15,10.83988212,2.872213206,18.04172242,13.55899534
pepamb,1,reared-1-1-15,15,10.67331511,2.935423251,19.71898286,14.17371722
pepamb,1,reared-1-1-15,15,11.12518152,2.910865294,18.21592402,14.46967754
pepamb,1,reared-1-1-20,20,14.38189953,4.402111288,37.85278611,19.25057002
pepamb,1,reared-1-1-20,20,12.90149324,4.125008739,29.55330175,24.66792724
pepamb,1,reared-1-1-20,20,13.6387915,4.213395266,30.02044907,14.15240242
pepamb,1,reared-1-1-20,20,14.50088194,4.838674367,37.57792838,27.59327797
pepamb,1,reared-1-1-20,20,13.26158309,4.496270383,34.86426243,28.79079321
pepamb,1,reared-1-1-20,20,13.92738222,4.503659702,33.90281452,27.40043424
pepamb,1,reared-1-1-20,20,14.6946921,4.968744284,41.69525287,43.28233461
pepamb,1,reared-1-1-20,20,14.72402103,5.153350158,43.13160617,41.66643714
pepamb,1,reared-1-1-20,20,15.03409233,3.947838795,35.53533645,31.47675173
pepamb,1,reared-1-1-20,20,15.42513541,4.806155711,42.23277706,39.93416845
pepamb,1,reared-1-1-20,20,11.79982783,3.22777678,21.71209833,19.08875861
pepamb,1,reared-1-1-20,20,13.82276414,4.345986356,33.20347893,17.41522968
pepamb,2,reared-1-2-1,1,2.281207556,0.459501173,0.555807095,0.560838058
pepamb,2,reared-1-2-1,1,3.057784912,0.786455118,1.237616951,0.559199184
pepamb,2,reared-1-2-1,1,2.675083344,0.535127794,0.712681676,0.63054739
pepamb,2,reared-1-2-1,1,2.993147302,0.620446969,1.063743813,0.557369743
pepamb,2,reared-1-2-1,1,2.375725398,0.554451167,0.681847969,0.601733691
pepamb,2,reared-1-2-1,1,2.35942709,0.564514138,0.631614564,0.311767266
pepamb,2,reared-1-2-1,1,2.864674651,0.426719348,0.711919408,0.926116479
pepamb,2,reared-1-2-1,1,2.841091493,0.568835659,0.77640721,0.985535203
pepamb,2,reared-1-2-1,1,3.073095444,0.770342018,1.293529247,1.039236924
pepamb,2,reared-1-2-1,1,2.930238301,0.519199901,0.743096135,1.139284488
pepamb,2,reared-1-2-1,1,2.754846277,0.462711446,0.740923674,0.920399475
pepamb,2,reared-1-2-1,1,2.406284727,0.435732807,0.560761832,0.662943744
pepamb,2,reared-1-2-1,1,2.643042351,0.483454747,0.726478711,0.710776008
pepamb,2,reared-1-2-1,1,2.386899617,0.431164341,0.525202069,0.529356425
pepamb,2,reared-1-2-1,1,3.316705766,0.710951969,1.032910107,0.904125071
pepamb,2,reared-1-2-1,1,2.352203976,0.444684529,0.528899065,0.623534532
pepamb,2,reared-1-2-1,1,2.270095073,0.487220645,0.583096259,0.357122162
pepamb,2,reared-1-2-1,1,2.070564267,0.486603284,0.607717488,0.625287746
pepamb,2,reared-1-2-1,1,3.067353994,0.529077664,0.812653013,1.038588997
pepamb,2,reared-1-2-3,3,2.570345643,0.476180541,0.744888987,0.775504839
pepamb,2,reared-1-2-3,3,2.233256833,0.428819807,0.488451002,0.578122074
pepamb,2,reared-1-2-3,3,3.2783921,0.65331386,1.101880456,0.95929668
pepamb,2,reared-1-2-3,3,1.88511023,0.395437791,0.366519625,0.369276503
pepamb,2,reared-1-2-3,3,2.558036025,0.528270394,0.69202465,0.735360831
pepamb,2,reared-1-2-3,3,2.359413033,0.517629877,0.694007667,0.633259627
pepamb,2,reared-1-2-3,3,3.27115933,0.644690173,1.104588967,1.001713902
pepamb,2,reared-1-2-3,3,2.343556576,0.541623201,0.614009849,0.329616158
pepamb,2,reared-1-2-3,3,2.150288615,0.466791849,0.563902389,0.261903374
pepamb,2,reared-1-2-3,3,3.512761666,0.741915293,1.372102829,1.397688588
pepamb,2,reared-1-2-3,3,2.257041519,0.427011614,0.592003195,0.347608412
