species_id,fish_id,hw,TLmm,SLmm,BDmm,PAmm,BAmm,wg,CPDmm,CFDmm,Mamm,CFAmm
apHuknown,05LARV0140,2.4,23.13529765,17.68129886,6.253758268,79.59302408,83.07874437,0.11,2.788935658,4.714371618,42.26255067,17.16825724
apHuknown,05LARV0161,2.8,20.26306392,16.06951553,6.08975122,52.89273454,70.20720591,0.08,2.511605761,3.385311272,26.34010006,13.07795178
apHuknown,05LARV0190,2.3,17.11262467,13.68766723,4.079299441,42.95776394,39.08209791,0.05,1.96059353,3.319143761,20.32505773,10.35483291
apHuknown,05LARV0030,1.4,13.83472057,10.72294887,3.693222354,28.00866982,27.00482552,0.01,1.669441141,2.776456599,16.01909284,5.400965104
apHuknown,05LARV0040,1.5,14.13356282,10.55283993,4.139759036,24.96496929,32.6009225,0.02,1.722547332,2.066781411,15.84543238,5.550404223
apHuknown,05LARV0062,2,20.20910127,15.8856645,5.284498358,48.9812438,65.47900708,0.05,2.799410227,4.558005496,33.87139473,11.33687844
apHuknown,05LARV0072,2.5,19.36537564,14.3370442,4.944337044,49.16677754,50.40216838,0.05,2.270515299,3.431771215,27.02306347,13.593743
apHuknown,05LARV0006,2.1,21.99262462,17.53433367,5.089013225,57.64644428,56.09411367,0.05,2.57121058,6.363173957,30.70704003,21.08582422
apHuknown,05LARV0008,1.3,12.30546856,9.894001445,3.169115876,21.67629932,26.40620131,0,1.331004577,,11.9408262,
apLI11,20/12/00j12,1.1,12.47891096,9.987056461,3.391802425,19.544668,23.52575972,,1.513125494,2.778963392,8.788539969,5.145282574
apLI11,JML03/15.12.20,1.85,14.93,12.13,3.69,25.7,30.05,,,,,
apLI11,14/12/00j28,1.02,13.12115298,10.4089905,3.619362172,18.77394296,24.97979454,,,,,
apLI11,15/12/00j6,1.9,13.09478827,10.42540717,3.290553746,21.21507921,24.41617418,,1.814818518,2.97836883,11.83541058,4.689062141
apLI11,15/12/00j8,1.2,11.13037956,8.744565483,3.09462166,14.71143253,17.80882741,,,,,
apLI11,16/12/01j28,1.8,11.21703925,8.913931208,3.224962044,16.60721115,19.8344285,,,,,
apLI11,17/11/01j11,1.6,12.2058018,9.545008445,3.287876021,19.9632322,21.11746909,,,,,
apLI11,17/11/01j21,1.25,9.984963496,8.306038153,2.844888494,12.58685136,15.51767064,,,,,
apLI11,17/11/01j25,1.1,11.0588247,8.831238352,3.116301201,17.76902316,18.86847637,,,,,
apLI12,21/11/00j13,1.1,13.42692155,10.80326563,2.960175229,21.3334526,22.7672078,,,,,
apLI12,29/11/01j3,1.4,14.00253012,11.03795181,3.206987952,21.97662941,24.36115547,,1.347361276,2.654481103,11.19975082,6.221773633
apLI12,JML03/15.12.24,2,16.48,13.06,3.91,29.99,34.45,,,,,
apLI12,17/11/01j10,1.5,16.75198143,12.82913122,3.538322924,37.48533745,34.66818858,,2.072792583,4.010806828,17.86136447,10.56874178
apLI12,17/11/01j30,2,16.27605318,13.31579258,3.941805961,30.16749264,37.72397731,,,,,
apLI12,17/11/01j31,1.7,17.00450602,13.41801735,3.83381532,35.97676122,38.21852414,,,,,
apLI12,29/11/00j28,1.45,15.05344828,13.50474138,3.432327586,29.77296373,29.0483799,,,,,
apLI16,6/12/01j18,0.9,10.17184889,8.102108454,2.720688906,13.36350652,15.13405591,,,,,
apLI16,6/12/01j3,0.8,9.128846681,7.143715947,2.503424345,10.20776182,11.90414303,,,,,
apLI16,JML03/18.12.11,1.8,14.78,11.76,3.36,25.69,26.65,,,,,
apLI16,14/12/01j19,0.8,7.673786191,6.308177681,2.306949214,6.904430208,10.36723106,,,,,
apLI16,14/12/01j21,1,8.611478021,6.806631603,2.47850973,8.930404119,11.61242098,,1.037467573,1.451486944,5.350600132,1.8336364
apLI16,17/11/01j20,0.9,8.450014152,6.895636303,2.447808392,8.848957584,10.99587406,,,,,
apLI16,17/11/01j42,0.7,9.365604218,7.344498053,2.518768279,10.23389462,12.28454286,,1.07039718,2.615984698,6.463496089,3.683805946
apLI16,19/11/01j34,0.9,9.159812039,7.747561873,2.752151823,9.176244905,13.74359092,,,,,
apLI18,6/12/01j20,1.2,10.61898145,8.599760958,2.891236117,14.79745304,16.7130063,,1.21849673,1.881936998,6.972922181,3.111342027
apLI18,6/12/01j21,1.2,10.94228375,9.073850904,3.11657786,16.61206976,19.17149642,,,,,
apLI18,6/12/01j28,1.2,11.53016174,9.297675801,2.947251368,17.57333511,18.79316012,,1.503808512,2.263628714,9.410762522,4.516435477
apLI18,6/12/01j30,1.7,11.40255009,9.011232544,2.980368346,14.54810971,18.54928021,,,,,
apLI18,6/12/01j38,1.1,11.37769236,9.323165309,3.189536203,17.2778908,19.82007258,,,,,
apLI18,JML03/18.12.9,1.9,15.8,12.73,4.02,30.8,32.58,,,,,
apLI18,14/12/01j28,1.7,12.45163034,9.88263376,3.622590524,20.18718942,24.98450278,,,,,
apLI18,14/12/01j4,1.6,12.24187834,9.573169819,3.140026947,18.87339699,20.79000711,,,,,
apLI18,16/12/01j37,1.6,11.4168744,9.200312961,3.148255973,20.18876608,19.70043499,,,,,
apLI18,16/12/01j41,1.8,10.89068637,8.573077424,3.072118696,14.70317569,18.01566805,,,,,
apLI18,17/11/01j40,1.3,11.94021134,8.946451941,2.985106912,16.75957261,18.70560708,,,,,
apLI18,19/11/01j29,1.3,8.339925251,6.536340216,2.739576908,9.191509496,11.66847297,,,,,
apLI9,19/12/00j27,1.8,14.54211618,11.55207469,3.042946058,22.03345328,25.19799935,,1.69797082,3.207278216,10.66322567,7.120535268
apLI9,20/12/00j10,1.1,13.36495473,10.60892557,3.141414951,24.16710817,24.04128596,,1.507731752,2.445957856,15.24990849,5.193375864
