fish_id,TLmm,SLmm,hw,BDmm,PAmm,BAmm,wg,CPDmm,CFDmm,Mamm,CFAmm
ameljcub2,9.0083,NA,NA,2.5852,12.2348,13.9549,NA,NA,NA,NA,NA
ameljcub3,7.143,NA,NA,2.0177,8.2211,8.3288,NA,NA,NA,NA,NA
aperjcub1,6.7322,NA,NA,1.8591,6.7014,7.4072,NA,NA,NA,NA,NA
21/12/01j15,11.37574177,8.995503172,1.2,2.963902179,16.03811538,19.00865987,NA,0.991663826,2.244982284,6.969144341,3.664797624
21/12/01j16,11.88703568,9.650873812,1.35,3.111701774,18.61012636,21.84513423,NA,1.124580206,2.133424317,9.42942572,3.451894493
21/12/01j26,11.65292401,9.390518146,1.45,2.955958161,17.5493372,19.50009107,NA,NA,NA,NA,NA
21/12/01j27,11.47224255,9.33389837,1.05,3.032033748,16.41918705,19.92244415,NA,NA,NA,NA,NA
21/12/01j31,11.26702606,9.28230009,1.3,2.994968553,14.208218,20.77005479,NA,NA,NA,NA,NA
27/12/01j21,12.59320487,10.10010142,1.55,3.2261663290000002,17.83148665,21.88427025,NA,NA,NA,NA,NA
27/12/01j40,11.73310462,9.242509893,1.2,3.071382624,16.36403643,20.68780039,NA,NA,NA,NA,NA
28/12/01j20,14.06040069,11.34296415,1.7,3.448784258,25.60191326,28.35339195,NA,NA,NA,NA,NA
05larv0083,16.0313253,12.29638554,2.2,5.66746988,44.67992452,47.80084192,0.04,1.927710843,3.134939759,26.72376252,10.49499202
05larv0227,15.32473851,11.91680856,2,5.728533204,49.584857,48.37186229,0.03,2.082218438,4.042811968,28.66809453,12.36662901
05larv0322,17.02598051,13.05645766,2.1,6.245316013,53.13901159,56.82098656,0.06,1.9110667,4.16937297,29.83023786,12.35645836
05larv0326,16.17229634,12.24666477,2.2,6.849276185,51.88724129,54.04249549,0.05,2.066420664,4.202384332,22.74095319,12.14596526
05larv0067,17.03764657,12.8930947,2.2,5.897963382,49.26553375,54.61199856,0.05,1.921415347,3.608996777,30.62579186,11.24309356
22/12/00j30,16.66809117,12.77891738,2.3,5.824643875,59.81221743,55.73209633,NA,2.337396775,4.764676142,30.43920065,13.28459632
22/12/01j21,19.83062089,14.9977042,2.35,7.347414248,82.28688522,77.51736868,NA,2.373933649,4.685308057,37.22113659,14.36949854
23/11/00j10,14.9894958,10.47511312,2.15,5.382999354,42.15827146,43.15841591,NA,NA,NA,NA,NA
23/11/00j24,16.06829066,11.50269618,2.1,5.438364946,42.99670601,46.89890477,NA,NA,NA,NA,NA
14/12/01j25,18.27746599,13.70256382,2.35,6.11402788,65.65727262,61.64795983,NA,NA,NA,NA,NA
14/12/01j6,14.4661036,11.11734234,1.8,5.146283784,43.73326029,44.83174052,NA,NA,NA,NA,NA
16/11/01j14,18.73038889,14.19943108,2.3,7.003541885,74.04669476,83.37061375,NA,NA,NA,NA,NA
17/11/01j41,18.97872264,15.0022369,2.5,7.373167982,67.46595371,72.70599359,NA,NA,NA,NA,NA
18/12/01j33,18.66884747,14.24115633,2.4,7.030658045,69.63255181,71.49977842,NA,NA,NA,NA,NA
18/12/01j36,18.84452078,14.88605824,2.6,6.597649603,69.58753005,71.86810173,NA,NA,NA,NA,NA
27/11/01j5,15.4528085,12.05660106,2.1,5.632524063,48.42358418,45.95678581,NA,NA,NA,NA,NA
20/12/00j9,9.36840147,7.250360448,1,3.283568206,14.28963879,18.20706777,NA,NA,NA,NA,NA
31/12/00j24,12.4573913,9.891304348,1.2,4.244347826,25.69565217,27.86956522,NA,NA,NA,NA,NA
9/12/00j25,11.80664221,8.914391455,1.4,4.078498848,25.68335036,25.21961881,NA,NA,NA,NA,NA
jml03/15.12.1,11.46,9.03,1.7,3.64,20.06,23.58,NA,1.11839838,2.698479366,10.98856398,3.862686797
jml03/15.12.10,12.05,9.49,1.9,3.53,23.59,24.04,NA,1.336047213,2.45584561,13.3460729,4.044774119
jml03/15.12.12,11.42,8.94,2,3.8,20.74,22.31,NA,NA,NA,NA,NA
jml03/15.12.4,11.09,9.2,1.9,3.69,20.72,23.02,NA,NA,NA,NA,NA
