species_id,species_note,taxa,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation
peacla,clarkii,Amphiprion clarkii,212783,http://www.marinespecies.org/aphia.php?p=taxdetails&id=212783,Amphiprion clarkii,"(Bennett, 1830)",accepted,NA,220,Species,212783,Amphiprion clarkii,"(Bennett, 1830)",205723,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Amphiprion,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Amphiprion clarkii (Bennett, 1830). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=212783 on 2021-11-12"
peamel,melanopus,Amphiprion melanopus,278398,http://www.marinespecies.org/aphia.php?p=taxdetails&id=278398,Amphiprion melanopus,"Bleeker, 1852",accepted,NA,220,Species,278398,Amphiprion melanopus,"Bleeker, 1852",205723,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Amphiprion,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Amphiprion melanopus Bleeker, 1852. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=278398 on 2021-11-12"
peaper,percula,Amphiprion percula,278402,http://www.marinespecies.org/aphia.php?p=taxdetails&id=278402,Amphiprion percula,"(Lacepède, 1802)",accepted,NA,220,Species,278402,Amphiprion percula,"(Lacepède, 1802)",205723,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Amphiprion,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Amphiprion percula (Lacepède, 1802). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=278402 on 2021-11-12"
pecatr,atripectoralis,Chromis atripectoralis,212812,http://www.marinespecies.org/aphia.php?p=taxdetails&id=212812,Chromis atripectoralis,"Welander & Schultz, 1951",accepted,NA,220,Species,212812,Chromis atripectoralis,"Welander & Schultz, 1951",126045,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Chromis,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Chromis atripectoralis Welander & Schultz, 1951. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=212812 on 2021-11-12"
peccya,cyanea,Chrysiptera cyanea,218781,http://www.marinespecies.org/aphia.php?p=taxdetails&id=218781,Chrysiptera cyanea,"(Quoy & Gaimard, 1825)",accepted,NA,220,Species,218781,Chrysiptera cyanea,"(Quoy & Gaimard, 1825)",203924,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Chrysiptera,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Chrysiptera cyanea (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=218781 on 2021-11-12"
pecfla,flavipinnis,Chrysiptera flavipinnis,276830,http://www.marinespecies.org/aphia.php?p=taxdetails&id=276830,Chrysiptera flavipinnis,"(Allen & Robertson, 1974)",accepted,NA,220,Species,276830,Chrysiptera flavipinnis,"(Allen & Robertson, 1974)",203924,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Chrysiptera,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Chrysiptera flavipinnis (Allen & Robertson, 1974). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=276830 on 2021-11-12"
pecres,rex,Chrysiptera rex,276839,http://www.marinespecies.org/aphia.php?p=taxdetails&id=276839,Chrysiptera rex,"(Snyder, 1909)",accepted,NA,220,Species,276839,Chrysiptera rex,"(Snyder, 1909)",203924,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Chrysiptera,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Chrysiptera rex (Snyder, 1909). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=276839 on 2021-11-12"
pecrol,rollandi,Chrysiptera rollandi,276840,http://www.marinespecies.org/aphia.php?p=taxdetails&id=276840,Chrysiptera rollandi,"(Whitley, 1961)",accepted,NA,220,Species,276840,Chrysiptera rollandi,"(Whitley, 1961)",203924,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Chrysiptera,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Chrysiptera rollandi (Whitley, 1961). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=276840 on 2021-11-12"
pectau,taupou,Chrysiptera taupou,276846,http://www.marinespecies.org/aphia.php?p=taxdetails&id=276846,Chrysiptera taupou,"(Jordan & Seale, 1906)",accepted,NA,220,Species,276846,Chrysiptera taupou,"(Jordan & Seale, 1906)",203924,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Chrysiptera,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Chrysiptera taupou (Jordan & Seale, 1906). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=276846 on 2021-11-12"
pectri,tricincta,Chrysiptera tricincta,276848,http://www.marinespecies.org/aphia.php?p=taxdetails&id=276848,Chrysiptera tricincta,"(Allen & Randall, 1974)",accepted,NA,220,Species,276848,Chrysiptera tricincta,"(Allen & Randall, 1974)",203924,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Chrysiptera,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Chrysiptera tricincta (Allen & Randall, 1974). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=276848 on 2021-11-12"
